stk_code,stk_name,pub_date,title,pdf_url,effective_date,prev_conv_price,new_conv_price
000060,中金岭南,20250619,关于中金转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-20/1223933550.PDF,20250620,,4.38
000157,中联重科,20260623,H股公告：可转股债券的转股价格调整,http://static.cninfo.com.cn/finalpage/2026-06-24/1225383844.PDF,20260704,,
000401,冀东水泥,20250619,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-20/1223934473.PDF,20250620,15.28,15.28
000401,金隅冀东,20260521,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-22/1225322622.PDF,20260522,15.28,15.28
000401,金隅冀东,20260717,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-18/1225430708.PDF,20260718,15.28,15.28
000411,英特集团,20250527,关于英特转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-28/1223695341.PDF,20250528,,9.3
000528,柳    工,20250618,关于柳工转2转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-19/1223911363.PDF,20250619,,7.3
000528,柳    工,20260526,关于柳工转2转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-27/1225330992.PDF,20260527,,6.98
000552,甘肃能化,20250703,关于能化转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-04/1224071380.PDF,20250704,3.0,2.93
000703,恒逸石化,20250612,关于“恒逸转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-13/1223860676.PDF,20250613,9.2,9.2
000703,恒逸石化,20250612,关于“恒逸转2”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-13/1223859804.PDF,20250613,10.41,10.41
000703,恒逸石化,20250710,关于“恒逸转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-11/1224131704.PDF,20250711,9.15,9.15
000703,恒逸石化,20250710,关于“恒逸转2”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-11/1224131169.PDF,20250711,10.36,10.36
000703,恒逸石化,20260607,关于“恒逸转2”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-08/1225355631.PDF,20260608,10.37,10.37
000708,中信特钢,20260706,关于董事会提议向下修正中特转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-07-07/1225411360.PDF,20260706,,25.0
000708,中信特钢,20260722,关于向下修正中特转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-07-23/1225437755.PDF,20260723,,21.78
000723,美锦能源,20260630,关于董事会提议向下修正美锦转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-07-01/1225400173.PDF,20260630,,13.21
000723,美锦能源,20260716,关于向下修正美锦转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-07-17/1225428696.PDF,20260716,,5.26
000726,鲁  泰Ａ,20250612,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-13/1223860747.PDF,20250613,,8.59
000726,鲁  泰Ａ,20251015,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-10-16/1224713728.PDF,20251016,,8.49
000823,超声电子,20260429,超声电子关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225258836.PDF,20260430,,12.22
000876,新 希 望,20250704,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-05/1224085652.PDF,20250705,,10.6
000876,新 希 望,20250717,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-18/1224203219.PDF,20250718,,10.61
000902,新洋丰,20260520,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-21/1225320417.PDF,20260521,,16.89
001212,中旗新材,20250522,关于中旗转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-23/1223633869.PDF,20250523,,14.76
001301,尚太科技,20260623,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-24/1225383535.PDF,20260624,84.71,84.71
001301,尚太科技,20260626,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-27/1225392378.PDF,20260627,84.72,84.72
002036,联创电子,20250907,关于联创转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-08/1224642784.PDF,20250908,11.17,11.18
002049,紫光国微,20250618,关于“国微转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-19/1223911508.PDF,20250619,,97.51
002049,紫光国微,20260622,关于“国微转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225381403.PDF,20260623,,97.3
002049,紫光国微,20260723,关于国微转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-24/1225439810.PDF,20260724,96.99,96.99
002091,江苏国泰,20250611,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-12/1223848230.PDF,20250612,,8.12
002091,江苏国泰,20251110,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-11-11/1224796466.PDF,20251111,,7.82
002091,江苏国泰,20260529,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-30/1225338579.PDF,20260530,,7.65
002120,韵达股份,20250604,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-05/1223766934.PDF,20250605,11.93,11.73
