日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,10.938,10.94,10.962,10.927,914854,1000576591.0,0.32,0.05,0.005,1.97
2024-01-03,10.935,10.91,10.946,10.903,1047907,1143878899.0,0.39,-0.27,-0.03,2.26
2024-01-04,10.908,10.871,10.911,10.862,610775,664396231.0,0.45,-0.36,-0.039,1.31
2024-01-05,10.875,10.843,10.91,10.83,524078,569763595.0,0.74,-0.26,-0.028,1.13
2024-01-08,10.842,10.807,10.844,10.797,857339,927479120.0,0.43,-0.33,-0.036,1.85
2024-01-09,10.808,10.821,10.847,10.801,766581,829949748.0,0.43,0.13,0.014,1.65
2024-01-10,10.817,10.809,10.847,10.792,938433,1015752651.0,0.51,-0.11,-0.012,2.02
2024-01-11,10.81,10.854,10.872,10.808,1022287,1108287704.0,0.59,0.42,0.045,2.2
2024-01-12,10.849,10.863,10.907,10.849,950860,1035306281.0,0.53,0.08,0.009,2.05
2024-01-15,10.858,10.865,10.899,10.844,644935,701552787.0,0.51,0.02,0.002,1.39
2024-01-16,10.868,10.844,10.872,10.822,792516,859910316.0,0.46,-0.19,-0.021,1.71
2024-01-17,10.838,10.761,10.839,10.758,961192,1038306168.0,0.75,-0.77,-0.083,2.07
2024-01-18,10.761,10.738,10.761,10.659,934447,1000659701.0,0.95,-0.21,-0.023,2.01
2024-01-19,10.743,10.705,10.776,10.703,973217,1045134695.0,0.68,-0.31,-0.033,2.1
2024-01-22,10.701,10.58,10.706,10.548,758173,805397612.0,1.48,-1.17,-0.125,1.63
2024-01-23,10.575,10.618,10.671,10.552,971100,1031135253.0,1.12,0.36,0.038,2.09
2024-01-24,10.72,10.621,10.72,10.558,776169,822921652.0,1.53,0.03,0.003,1.67
2024-01-25,10.618,10.725,10.746,10.61,1186180,1268670051.0,1.28,0.98,0.104,2.55
2024-01-26,10.72,10.739,10.759,10.717,850162,913096183.0,0.39,0.13,0.014,1.83
2024-01-29,10.762,10.676,10.769,10.673,433933,464476525.0,0.89,-0.59,-0.063,0.93
2024-01-30,10.668,10.621,10.678,10.621,703914,749891966.0,0.53,-0.52,-0.055,1.52
2024-01-31,10.622,10.551,10.629,10.529,937014,988866473.0,0.94,-0.66,-0.07,2.02
2024-02-01,10.546,10.551,10.621,10.513,863095,913022471.0,1.02,0.0,0.0,1.86
2024-02-02,10.56,10.549,10.591,10.515,972886,1027465783.0,0.72,-0.02,-0.002,2.09
2024-02-05,10.535,10.487,10.543,10.424,1236920,1296733173.0,1.13,-0.59,-0.062,2.66
2024-02-06,10.48,10.643,10.687,10.45,1464496,1550643651.0,2.26,1.49,0.156,3.15
2024-02-07,10.648,10.648,10.724,10.64,1124537,1201094075.0,0.79,0.05,0.005,2.42
2024-02-08,10.668,10.715,10.744,10.668,666083,712423589.0,0.71,0.63,0.067,1.43
2024-02-19,10.733,10.717,10.756,10.685,777189,833479273.0,0.66,0.02,0.002,1.67
2024-02-20,10.712,10.776,10.78,10.688,855264,919035301.0,0.86,0.55,0.059,1.84
2024-02-21,10.766,10.814,10.876,10.76,1449757,1571134544.0,1.08,0.35,0.038,3.12
2024-02-22,10.814,10.82,10.857,10.805,1517444,1641939772.0,0.48,0.06,0.006,3.27
2024-02-23,10.828,10.85,10.867,10.816,1314125,1423861234.0,0.47,0.28,0.03,2.83
2024-02-26,10.868,10.829,10.869,10.815,1026155,1111979185.0,0.5,-0.19,-0.021,2.21
2024-02-27,10.824,10.878,10.882,10.82,1277769,1386645271.0,0.57,0.45,0.049,2.75
2024-02-28,10.882,10.779,10.9,10.775,1186796,1287384317.0,1.15,-0.91,-0.099,2.56
2024-02-29,10.774,10.828,10.837,10.773,985077,1065474357.0,0.59,0.45,0.049,2.12
2024-03-01,10.83,10.869,10.88,10.83,879597,955297161.0,0.46,0.38,0.041,1.89
2024-03-04,10.87,10.849,10.889,10.814,843451,914344395.0,0.69,-0.18,-0.02,1.82
2024-03-05,10.842,10.805,10.868,10.803,918345,995159211.0,0.6,-0.41,-0.044,1.98
2024-03-06,10.799,10.8,10.818,10.777,897234,968782959.0,0.38,-0.05,-0.005,1.93
2024-03-07,10.805,10.82,10.879,10.801,736698,798272906.0,0.72,0.19,0.02,1.59
2024-03-08,10.821,10.818,10.838,10.811,645684,698814272.0,0.25,-0.02,-0.002,1.39
2024-03-11,10.817,10.845,10.853,10.809,756198,818847649.0,0.41,0.25,0.027,1.63
2024-03-12,10.853,10.83,10.858,10.823,724763,785037222.0,0.32,-0.14,-0.015,1.56
2024-03-13,10.833,10.839,10.849,10.812,637286,690315308.0,0.34,0.08,0.009,1.37
2024-03-14,10.837,10.838,10.853,10.832,627190,680013039.0,0.19,-0.01,-0.001,1.35
2024-03-15,10.834,10.868,10.87,10.824,715850,775996951.0,0.42,0.28,0.03,1.54
2024-03-18,10.873,10.9,10.907,10.868,676667,736599347.0,0.36,0.29,0.032,1.46
2024-03-19,10.895,10.909,10.931,10.886,849044,926853613.0,0.41,0.08,0.009,1.83
