Strategy,Round_Trip_Fee_bps,Total_Return,Sharpe,Max_Drawdown,Friction_Cost_Yuan,vs_ETF_Excess
日频纯双低 (Daily Double-Low),0.0,-0.024949979999999705,-0.7487160932107467,-0.028973383144894744,0.0,-0.3190998885923215
日频 GBDT 14因子 (Daily GBDT),0.0,-0.022262259999999756,-0.6615343634198798,-0.028973383144894744,0.0,-0.3164121685923216
日内尾盘选债 (14:45 Signal -> T+1 Fill),0.0,0.027627999999999986,0.4764113608407278,-0.025589460000000196,0.0,-0.26652190859232183
日频纯双低 (Daily Double-Low),2.0,-0.02524980915499997,-0.7590662190835383,-0.029091508744918594,283.34915500000005,-0.3193997177473218
日频 GBDT 14因子 (Daily GBDT),2.0,-0.022656401332999954,-0.6721750249641903,-0.029091508744918594,394.14133300000015,-0.31680630992532177
日内尾盘选债 (14:45 Signal -> T+1 Fill),2.0,0.027032482867000107,0.46637059617709675,-0.02574660715700011,595.5171330000003,-0.2671174257253217
日频纯双低 (Daily Double-Low),5.0,-0.02570699458750003,-0.7714227643060927,-0.02930089248587303,707.7345875,-0.31985690317982185
日频 GBDT 14因子 (Daily GBDT),5.0,-0.023279775032500005,-0.689498063771301,-0.02930089248587303,984.7150324999999,-0.3174296836248218
日内尾盘选债 (14:45 Signal -> T+1 Fill),5.0,-0.014187731940000003,-0.28676035072952566,-0.02595298117500008,1190.9019400000004,-0.3083376405323218
日频纯双低 (Daily Double-Low),10.0,-0.026509659994999657,-0.7900896123510749,-0.02959564742110034,1526.8799949999998,-0.3206595685873215
日频 GBDT 14因子 (Daily GBDT),10.0,-0.02426395206499954,-0.7162775502207607,-0.02959564742110034,1968.8920649999998,-0.31841386065732136
日内尾盘选债 (14:45 Signal -> T+1 Fill),10.0,-0.01640531166999981,-0.3209407813532229,-0.026343353540000156,2380.6816700000004,-0.31055522026232163
日频纯双低 (Daily Double-Low),20.0,-0.027891477449999647,-0.8321955289232361,-0.03008189099944398,2827.31745,-0.32204138604232146
日频 GBDT 14因子 (Daily GBDT),20.0,-0.026295199229999566,-0.7749417216231365,-0.03008189099944398,3935.2392299999997,-0.3204451078223214
日内尾盘选债 (14:45 Signal -> T+1 Fill),20.0,-0.01552453513999974,-0.31583788241360283,-0.02719481687999994,4566.105140000001,-0.30967444373232156
