date,nav,num_pos
20250102,994664.3839800002,10
20250103,990264.3439800001,10
20250106,986692.6539800002,10
20250107,993596.8739800001,10
20250108,990896.4339800002,10
20250109,999085.5866100003,10
20250110,995652.8066100003,10
20250113,995392.4966100003,10
20250114,1004951.4166100002,10
20250115,1008378.5766100003,10
20250116,1006211.3312300006,10
20250117,1007965.6112300004,10
20250120,1013000.9223400005,10
20250121,1012333.7423400003,10
20250122,1011745.9123400005,10
20250123,1010258.3882300004,10
20250124,1015837.6482300004,10
20250127,1017170.2782300003,10
20250205,1016812.7282300005,10
20250206,1018823.1764300003,10
20250207,1024120.7793400002,10
20250210,1027692.8793400002,10
20250211,1027671.6793400003,10
20250212,1025601.1293400002,10
20250213,1027773.0993400003,10
20250214,1023301.3547300003,10
20250217,1023724.5847300002,10
20250218,1019479.2447300003,10
20250219,1027104.0947300004,10
20250220,1028740.0547300002,10
20250221,1029097.2826600003,10
20250224,1030357.8026600003,10
20250225,1031365.3226600002,10
20250226,1036031.7826600003,10
20250227,1034925.1826600003,10
20250228,1027904.2856200002,10
20250303,1026319.1456200001,10
20250304,1028331.6656200001,10
20250305,1027854.01562,10
20250306,1031162.03562,10
20250307,1031207.3165500002,10
20250310,1030526.3765500002,10
20250311,1027668.6065500001,10
20250312,1026834.4593900002,10
20250313,1026730.5993900002,10
20250314,1027419.3463100003,10
20250317,1028948.2963100005,10
20250318,1028076.3063100005,10
20250319,1025120.5763100003,10
20250320,1025371.7463100003,10
20250321,1019550.1566000003,10
20250324,1017088.3166000005,10
20250325,1020653.7166000004,10
20250326,1022887.2966000005,10
20250327,1023995.4366000004,10
20250328,1021115.9655200006,10
20250331,1016397.2655200006,10
20250401,1018883.3455200006,10
20250402,1018674.2293400007,10
20250403,1018454.6993400006,10
20250407,999914.0935100005,10
20250408,999804.3535100005,10
20250409,1004339.2435100006,10
20250410,1008610.1535100006,10
20250411,1010498.4735100006,10
20250414,1007298.5128700007,10
20250415,1003996.5428700007,10
20250416,1001328.1028700005,10
20250417,1002498.9128700007,10
20250418,1000541.3128700007,10
20250421,1000521.9823800006,10
20250422,999901.0323800007,10
20250423,1004843.6623800007,10
20250424,1003491.0323800007,10
20250425,1004239.2823800007,10
20250428,1000882.2819400006,10
20250429,1002189.3719400006,10
20250430,1001211.0419400007,10
20250506,1006212.2719400007,10
20250507,1006429.5519400006,10
20250508,1007021.7842200008,10
20250509,1005961.7642200008,10
20250512,1009558.1642200011,10
20250513,1013380.9542200009,10
20250514,1014090.704220001,10
20250515,1010209.1868500011,10
20250516,1011397.806850001,10
20250519,1011973.626850001,10
20250520,1014531.276850001,10
20250521,1014999.806850001,10
20250522,1010997.722160001,10
20250523,1009531.1921600013,10
20250526,1007944.1421600012,10
20250527,1005777.0021600011,10
20250528,1005173.892160001,10
20250529,1006305.9524700011,10
20250530,1006546.182470001,10
20250603,1007503.1224700012,10
20250604,1009474.922470001,10
20250605,1009366.7424700011,10
20250606,1009041.7851400013,10
20250609,1011179.2551400014,10
20250610,1010057.0551400012,10
20250611,1011792.9151400013,10
20250612,1011193.1451400013,10
20250613,1009584.1545600013,10
20250616,1010651.0145600012,10
20250617,1011922.4045600013,10
20250618,1007788.5545600015,10
20250619,1005637.3045600012,10
20250620,1004530.9532100012,10
20250623,1005313.3132100013,10
20250624,1008508.2032100012,10
20250625,1012246.8232100013,10
20250626,1013808.2632100014,10
20250627,1014612.5420000012,10
20250630,1016336.3420000013,10
20250701,1017823.6520000013,10
20250702,1022501.5820000013,10
20250703,1028078.6020000014,10
20250704,1026784.4147200013,10
20250707,1025998.8047200013,10
20250708,1034374.7947200012,10
20250709,1030783.2847200014,10
20250710,1034120.9247200013,10
20250711,1034120.9243900012,10
20250714,1032767.8843900014,10
20250715,1030941.9643900014,10
20250716,1033410.5543900013,10
20250717,1037207.5043900013,10
20250718,1037573.6533100015,10
20250721,1044057.4733100014,10
20250722,1049735.5133100015,10
20250723,1047279.0333100015,10
20250724,1051081.5133100015,10
20250725,1050184.3648800016,10
20250728,1042668.4848800015,10
20250729,1043342.1448800012,10
20250730,1048115.7648800015,10
20250731,1040794.6448800014,10
20250801,1040650.2917100016,10
20250804,1043573.5117100016,10
20250805,1047737.0217100016,10
20250806,1052890.1817100015,10
20250807,1054770.6917100018,10
20250808,1054493.6407700016,10
20250811,1056328.0707700017,10
20250812,1055053.9407700016,10
20250813,1058633.5707700015,10
20250814,1056293.2807700017,10
20250815,1058697.6107900017,10
20250818,1063619.6107900017,10
20250819,1066623.3907900017,10
20250820,1070427.3307900017,10
20250821,1074812.8507900017,10
20250822,1079464.2745700018,10
20250825,1080563.5245700018,10
20250826,1081814.5445700018,10
20250827,1062311.0245700018,10
20250828,1064242.724570002,10
20250829,1061645.182000002,10
20250901,1057270.052000002,10
20250902,1054763.822000002,10
20250903,1057458.5820000018,10
20250904,1061029.992000002,10
20250905,1069072.744490002,10
20250908,1075329.464490002,10
20250909,1071494.864490002,10
20250910,1068619.834490002,10
20250911,1072850.794490002,10
20250912,1071629.598000002,10
20250915,1067551.798000002,10
20250916,1062847.1480000021,10
20250917,1064777.0980000023,10
20250918,1062575.6480000021,10
20250919,1062009.7678000021,10
20250922,1059074.3578000022,10
20250923,1059129.6678000023,10
20250924,1061287.3778000022,10
20250925,1062583.897800002,10
20250926,1062600.2472100023,10
20250929,1067555.7972100023,10
20250930,1069084.8672100024,10
20251009,1070300.2972100023,10
20251010,1072265.0372100023,10
20251013,1067275.6018200023,10
20251014,1067666.1318200023,10
20251015,1070774.9718200024,10
20251016,1068562.6818200024,10
20251017,1067588.4118200024,10
20251020,1067156.6930600025,10
20251021,1072728.4930600026,10
20251022,1072204.0530600024,10
20251023,1073799.5818200025,10
20251024,1074826.1118200026,10
20251027,1081072.0463400027,10
20251028,1079954.2363400024,10
20251029,1082163.2863400024,10
20251030,1078749.8363400025,10
20251031,1080671.9163400023,10
20251103,1079590.1335700024,10
20251104,1077122.8135700023,10
20251105,1077026.0735700023,10
20251106,1081684.6435700024,10
20251107,1082135.7835700023,10
20251110,1083993.6406200025,10
20251111,1082385.1206200025,10
20251112,1082302.1206200025,10
20251113,1084669.1006200025,10
20251114,1082766.6206200025,10
20251117,1078963.7724500024,10
20251118,1074538.6024500025,10
20251119,1074488.9724500023,10
20251120,1073931.0424500024,10
20251121,1072319.7724500024,10
20251124,1072001.9747800024,10
20251125,1071683.9047800023,10
20251126,1070303.1047800023,10
20251127,1069290.7510800024,10
20251128,1070249.1710800023,10
20251201,1068727.7422800022,10
20251202,1067712.9122800021,10
20251203,1067832.2222800024,10
20251204,1067111.7422800022,10
20251205,1068462.3722800023,10
20251208,1066253.0190600024,10
20251209,1064759.9490600023,10
20251210,1067644.2810600023,10
20251211,1067232.5010600023,10
20251212,1067378.8010600023,10
20251215,1065969.7870600023,10
20251216,1065446.2770600023,10
20251217,1065335.9046600023,10
20251218,1064988.9946600024,10
20251219,1064685.9946600024,10
20251222,1064056.8291600025,10
20251223,1063857.7691600025,10
20251224,1064047.6091600023,10
20251225,1064723.4891600024,10
20251226,1065123.1691600024,10
20251229,1063883.0292400024,10
20251230,1064034.8692400025,10
20251231,1063908.7492400026,10
20260105,1065169.8692400025,10
20260106,1067401.2892400026,10
20260107,1067293.9110800026,10
20260108,1066785.0010800026,10
20260109,1068003.3710800025,10
20260112,1069093.1210800025,10
20260113,1067070.2410800026,10
20260114,1066009.4472500025,10
20260115,1066741.3972500025,10
20260116,1065353.1772500025,10
20260119,1065682.0972500024,10
20260120,1065970.0572500024,10
20260121,1065929.3500300026,10
20260122,1066952.5500300026,10
20260123,1066668.2700300026,10
20260126,1066015.4100300025,10
20260127,1064175.9300300027,10
20260128,1065068.9004100026,10
20260129,1065314.5804100025,10
20260130,1064750.8504100025,10
20260202,1062875.2904100025,10
20260203,1063740.1904100024,10
20260204,1063750.2128600026,10
20260205,1062922.4328600026,10
20260206,1062969.7728600025,10
20260209,1062585.2528600027,10
20260210,1060961.2428600024,10
20260211,1060645.8486400025,10
20260212,1060604.9686400024,10
20260213,1059490.4086400026,10
20260224,1058508.2886400025,10
20260225,1059446.8886400026,10
20260226,1057655.6442500027,10
20260227,1057685.1242500027,10
20260302,1057497.6742500025,10
20260303,1056276.5342500026,10
20260304,1055392.4142500027,10
20260305,1055044.8651300026,10
20260306,1055307.6051300026,10
20260309,1055641.6821300026,10
20260310,1055438.3621300026,10
20260311,1055241.9421300027,10
20260312,1055470.3787300026,10
20260313,1056829.6087300028,10
20260316,1055425.6587300026,10
20260317,1055728.8087300025,10
20260318,1055995.8387300028,10
20260319,1054401.3995900026,10
20260320,1053824.7695900025,10
20260323,1053762.8495900026,10
20260324,1053908.6195900026,10
20260325,1053720.2795900027,10
20260326,1053384.8465900025,10
20260327,1053201.8065900025,10
20260330,1053122.6065900028,10
20260331,1053032.4065900026,10
20260401,1053107.6465900026,10
20260402,1052895.8833900027,10
20260403,1052893.2433900025,10
20260407,1052893.6833900027,10
20260408,1053027.0649900027,10
20260409,1053027.0649900027,10
20260410,1053027.0649900027,10
20260413,1053027.0649900027,10
20260414,1053027.0649900027,10
20260415,1053027.0649900027,10
20260416,1053027.0649900027,10
20260417,1053027.0649900027,10
20260420,1053027.0649900027,10
20260421,1053027.0649900027,10
20260422,1053027.0649900027,10
20260423,1053027.0649900027,10
20260424,1053027.0649900027,10
20260427,1053027.0649900027,10
20260428,1053027.0649900027,10
20260429,1053027.0649900027,10
20260430,1053027.0649900027,10
20260506,1053027.0649900027,10
20260507,1053027.0649900027,10
20260508,1053027.0649900027,10
20260511,1053027.0649900027,10
20260512,1053027.0649900027,10
20260513,1053027.0649900027,10
20260514,1053027.0649900027,10
20260515,1053027.0649900027,10
20260518,1053027.0649900027,10
20260519,1053027.0649900027,10
20260520,1053027.0649900027,10
20260521,1053027.0649900027,10
20260522,1053027.0649900027,10
20260525,1053027.0649900027,10
20260526,1053027.0649900027,10
20260527,1053027.0649900027,10
20260528,1053027.0649900027,10
20260529,1053027.0649900027,10
20260601,1053027.0649900027,10
20260602,1053027.0649900027,10
20260603,1053027.0649900027,10
20260604,1053027.0649900027,10
20260605,1053027.0649900027,10
20260608,1053027.0649900027,10
20260609,1053027.0649900027,10
20260610,1053027.0649900027,10
20260611,1053027.0649900027,10
20260612,1053027.0649900027,10
20260615,1053027.0649900027,10
20260616,1053027.0649900027,10
20260617,1053027.0649900027,10
20260618,1053027.0649900027,10
20260622,1053027.0649900027,10
20260623,1053027.0649900027,10
20260624,1053027.0649900027,10
20260625,1053027.0649900027,10
20260626,1053027.0649900027,10
20260629,1053027.0649900027,10
20260630,1053027.0649900027,10
20260701,1053027.0649900027,10
20260702,1053027.0649900027,10
20260703,1053027.0649900027,10
20260706,1053027.0649900027,10
20260707,1053027.0649900027,10
20260708,1053027.0649900027,10
20260709,1053027.0649900027,10
20260710,1053027.0649900027,10
20260713,1053027.0649900027,10
20260714,1053027.0649900027,10
20260715,1053027.0649900027,10
20260716,1053027.0649900027,10
20260717,1053027.0649900027,10
20260720,1053027.0649900027,10
20260721,1053027.0649900027,10
20260722,1053027.0649900027,10
20260723,1053027.0649900027,10
20260724,1053027.0649900027,10
