trade_time,ts_code,side,gross_price,shares,net_pnl
2025-01-02 09:30:00,110086.SH,BUY,101.85,980,0.0
2025-01-02 09:30:00,110087.SH,BUY,107.24,930,0.0
2025-01-02 09:30:00,110095.SH,BUY,101.419,980,0.0
2025-01-02 09:30:00,111004.SH,BUY,106.093,940,0.0
2025-01-02 09:30:00,111009.SH,BUY,102.784,970,0.0
2025-01-02 09:30:00,113046.SH,BUY,107.2,930,0.0
2025-01-02 09:30:00,113048.SH,BUY,106.127,750,0.0
2025-01-02 09:30:00,113053.SH,BUY,105.971,600,0.0
2025-01-02 09:30:00,113059.SH,BUY,109.058,470,0.0
2025-01-02 09:30:00,113526.SH,BUY,105.821,390,0.0
2025-01-09 09:30:00,110086.SH,SELL,101.02,980,-1012.2125999999887
2025-01-09 09:30:00,110087.SH,SELL,106.1,930,-1258.6061999999895
2025-01-09 09:30:00,110095.SH,SELL,96.836,980,-4685.629899999987
2025-01-09 09:30:00,111004.SH,SELL,104.329,940,-1855.9566800000039
2025-01-09 09:30:00,111009.SH,SELL,102.473,970,-500.7692899999961
2025-01-09 09:30:00,113046.SH,SELL,107.138,930,-256.9943399999959
2025-01-09 09:30:00,113048.SH,SELL,106.502,750,121.77825000000553
2025-01-09 09:30:00,113053.SH,SELL,105.451,600,-438.85319999999695
2025-01-09 09:30:00,113059.SH,SELL,109.668,470,183.89878000000465
2025-01-09 09:30:00,113526.SH,SELL,105.799,390,-91.11179999999521
2025-01-09 09:30:00,110086.SH,BUY,101.02,970,0.0
2025-01-09 09:30:00,110087.SH,BUY,106.1,930,0.0
2025-01-09 09:30:00,110095.SH,BUY,96.836,1020,0.0
2025-01-09 09:30:00,111004.SH,BUY,104.329,940,0.0
2025-01-09 09:30:00,111009.SH,BUY,102.473,960,0.0
2025-01-09 09:30:00,113046.SH,BUY,107.138,920,0.0
2025-01-09 09:30:00,113048.SH,BUY,106.502,740,0.0
2025-01-09 09:30:00,113053.SH,BUY,105.451,600,0.0
2025-01-09 09:30:00,113054.SH,BUY,108.607,470,0.0
2025-01-09 09:30:00,113526.SH,BUY,105.799,380,0.0
2025-01-16 09:30:00,110086.SH,SELL,103.568,970,2273.1096400000147
2025-01-16 09:30:00,110087.SH,SELL,107.98,930,1549.3056000000263
2025-01-16 09:30:00,110095.SH,SELL,103.736,1020,6833.416560000012
2025-01-16 09:30:00,111004.SH,SELL,106.768,940,2094.228820000011
2025-01-16 09:30:00,111009.SH,SELL,103.829,960,1103.7100800000007
2025-01-16 09:30:00,113046.SH,SELL,108.747,920,1281.665800000008
2025-01-16 09:30:00,113048.SH,SELL,108.611,740,1401.4763800000153
2025-01-16 09:30:00,113053.SH,SELL,106.823,600,695.8356000000038
2025-01-16 09:30:00,113054.SH,SELL,109.598,470,363.213650000001
2025-01-16 09:30:00,113526.SH,SELL,105.849,380,-61.42623999999984
2025-01-16 09:30:00,110086.SH,BUY,103.568,970,0.0
2025-01-16 09:30:00,110087.SH,BUY,107.98,930,0.0
2025-01-16 09:30:00,110095.SH,BUY,103.736,970,0.0
2025-01-16 09:30:00,111004.SH,BUY,106.768,940,0.0
2025-01-16 09:30:00,111009.SH,BUY,103.829,970,0.0
2025-01-16 09:30:00,113046.SH,BUY,108.747,920,0.0
2025-01-16 09:30:00,113048.SH,BUY,108.611,740,0.0
2025-01-16 09:30:00,113053.SH,BUY,106.823,600,0.0
2025-01-16 09:30:00,113054.SH,BUY,109.598,470,0.0
2025-01-16 09:30:00,113526.SH,BUY,105.849,390,0.0
2025-01-23 09:30:00,110086.SH,SELL,103.894,970,114.98186000001468
2025-01-23 09:30:00,110087.SH,SELL,107.81,930,-358.78469999998686
2025-01-23 09:30:00,110095.SH,SELL,105.029,970,1051.7079500000066
2025-01-23 09:30:00,111004.SH,SELL,108.24,940,1181.5724800000103
2025-01-23 09:30:00,111009.SH,SELL,106.325,970,2217.2706200000202
2025-01-23 09:30:00,113046.SH,SELL,108.91,920,-50.2844399999924
2025-01-23 09:30:00,113048.SH,SELL,109.0,740,126.82786000001414
2025-01-23 09:30:00,113053.SH,SELL,106.39,600,-387.7277999999933
2025-01-23 09:30:00,113054.SH,SELL,110.0,470,85.72894000000488
2025-01-23 09:30:00,110086.SH,BUY,103.894,1030,0.0
2025-01-23 09:30:00,110087.SH,BUY,107.81,990,0.0
2025-01-23 09:30:00,110095.SH,BUY,105.029,1020,0.0
2025-01-23 09:30:00,111004.SH,BUY,108.24,990,0.0
2025-01-23 09:30:00,111009.SH,BUY,106.325,1010,0.0
2025-01-23 09:30:00,113044.SH,BUY,110.19,780,0.0
2025-01-23 09:30:00,113046.SH,BUY,108.91,630,0.0
2025-01-23 09:30:00,113048.SH,BUY,109.0,510,0.0
2025-01-23 09:30:00,113053.SH,BUY,106.39,420,0.0
2025-02-07 09:30:00,110086.SH,SELL,106.86,1030,2837.9033800000143
2025-02-07 09:30:00,110087.SH,SELL,108.428,990,397.744380000005
2025-02-07 09:30:00,110095.SH,SELL,107.8,1020,2609.334420000016
2025-02-07 09:30:00,111004.SH,SELL,108.981,990,518.5412100000046
2025-02-07 09:30:00,111009.SH,SELL,106.299,1010,-241.01023999998716
2025-02-07 09:30:00,113046.SH,SELL,109.63,630,315.91980000000547
2025-02-07 09:30:00,113048.SH,SELL,108.88,510,-172.3187999999992
2025-02-07 09:30:00,113053.SH,SELL,107.1,420,208.53420000000028
2025-02-07 09:30:00,110086.SH,BUY,106.86,1040,0.0
2025-02-07 09:30:00,110087.SH,BUY,108.428,1020,0.0
2025-02-07 09:30:00,110095.SH,BUY,107.8,1030,0.0
2025-02-07 09:30:00,111004.SH,BUY,108.981,1020,0.0
2025-02-07 09:30:00,111009.SH,BUY,106.299,830,0.0
2025-02-07 09:30:00,111014.SH,BUY,112.698,630,0.0
2025-02-07 09:30:00,113046.SH,BUY,109.63,520,0.0
2025-02-07 09:30:00,113048.SH,BUY,108.88,420,0.0
2025-02-14 09:30:00,110086.SH,SELL,108.65,1040,1637.4696000000267
2025-02-14 09:30:00,110087.SH,SELL,108.459,1020,-189.6047399999793
2025-02-14 09:30:00,110095.SH,SELL,111.75,1030,3842.3635000000195
2025-02-14 09:30:00,111004.SH,SELL,110.8,1020,1631.2033800000197
2025-02-14 09:30:00,111009.SH,SELL,107.416,830,749.7265499999974
2025-02-14 09:30:00,111014.SH,SELL,113.4,630,299.81826000001206
2025-02-14 09:30:00,113046.SH,SELL,109.69,520,-82.84639999998944
2025-02-14 09:30:00,113048.SH,SELL,111.898,420,1174.8332400000081
2025-02-14 09:30:00,110086.SH,BUY,108.65,1030,0.0
2025-02-14 09:30:00,110087.SH,BUY,108.459,1030,0.0
2025-02-14 09:30:00,110095.SH,BUY,111.75,1000,0.0
2025-02-14 09:30:00,111004.SH,BUY,110.8,1010,0.0
2025-02-14 09:30:00,111009.SH,BUY,107.416,840,0.0
2025-02-14 09:30:00,111014.SH,BUY,113.4,630,0.0
2025-02-14 09:30:00,113046.SH,BUY,109.69,520,0.0
2025-02-14 09:30:00,113048.SH,BUY,111.898,410,0.0
