date,nav,num_pos
20250102,1000000.0,0
20250103,993558.72119,9
20250106,990636.4843000001,10
20250107,999164.1443,10
20250108,996862.7743,10
20250109,1000345.9043,10
20250110,990341.7267899999,8
20250113,982804.81623,10
20250114,995184.0335899999,10
20250115,998743.9270326399,10
20250116,998513.2864618372,10
20250117,999827.7658627997,10
20250120,1002647.3138327999,9
20250121,1003296.6938328,10
20250122,1003533.4334807999,10
20250123,1004434.640679152,10
20250124,1006612.1183227998,10
20250127,1005038.0282527998,8
20250205,1006824.7617127998,9
20250206,1013833.0563627998,10
20250207,1018680.6024650699,10
20250210,1036092.2235681998,8
20250211,1026857.6937481998,10
20250212,1036458.3686881999,10
20250213,1033718.4316882,10
20250214,1031119.7016881998,10
20250217,1033012.3693982001,10
20250218,1026993.5087982,10
20250219,1031737.4173181998,9
20250220,1032529.8829582,10
20250221,1036113.3829581998,10
20250224,1033097.2754482,10
20250225,1040556.2734882,10
20250226,1047467.0767882001,9
20250227,1044451.2800882,10
20250228,1035598.9090450001,10
20250303,1027085.5058414,9
20250304,1029064.0532982,8
20250305,1025668.1469782,10
20250306,1031450.6358082,10
20250307,1036191.6642482001,10
20250310,1034508.7996382,9
20250311,1028799.7843982,9
20250312,1029243.1985982,10
20250313,1026913.8887621,10
20250314,1029407.0202862001,10
20250317,1030115.1714262001,9
20250318,1028796.9991762001,10
20250319,1026598.5437361998,10
20250320,1026815.5506662002,10
20250321,1020279.0312062001,10
20250324,1012051.5684692,10
20250325,1010279.9188492002,10
20250326,1010222.2122592,10
20250327,1009442.6639616002,10
20250328,1008507.1002795777,10
20250331,1002611.4453824001,10
20250401,1003138.5278984001,10
20250402,1002444.1115384001,10
20250403,998371.0991452001,10
20250407,964138.59165939,10
20250408,973734.1576145659,10
20250409,985756.8625676065,10
20250410,995005.0902890002,10
20250411,990005.0238590001,10
20250414,990420.288989,10
20250415,985577.5860890002,10
20250416,975996.0325290002,10
20250417,977087.2126590001,10
20250418,976713.5902590002,9
20250421,984169.9426290002,10
20250422,984727.1093190003,9
20250423,988879.2682536601,10
20250424,983997.8208064856,10
20250425,986881.9436522,10
20250428,980157.7002522001,10
20250429,982707.4264222003,10
20250430,984703.0881422001,10
20250506,995384.5637922003,10
20250507,993868.4951522001,10
20250508,995780.6148122004,10
20250509,992439.0576422003,10
20250512,996277.3672922004,10
20250513,997829.5395722005,10
20250514,994616.9760722006,9
20250515,990994.0738122006,10
20250516,991373.6669522002,10
20250519,992696.2305022005,9
20250520,995954.1241522006,10
20250521,995864.4720322005,10
20250522,989533.8552522005,10
20250523,986442.5677322005,10
20250526,985959.7835322004,8
20250527,982760.8782722005,10
20250528,980740.6475722005,10
20250529,984949.4039422006,10
20250530,983888.1449522006,10
20250603,984386.3049522005,10
20250604,986258.6329122006,10
20250605,986568.6582122006,10
20250606,989162.0703322004,10
20250609,990573.9262222005,10
20250610,984310.8862222005,10
20250611,984107.7489822006,10
20250612,984804.7229422005,10
20250613,979144.6629322006,10
20250616,979566.4867522005,10
20250617,978983.5563722007,10
20250618,975058.0423398006,9
20250619,971156.9858298006,10
20250620,969871.1291298006,10
20250623,972400.6777498007,9
20250624,977833.1708498007,10
20250625,982408.3569298008,10
20250626,979485.6395498008,10
20250627,981722.5613398007,10
20250630,983180.9004498008,9
20250701,985905.2332498007,10
20250702,988703.5220298007,10
20250703,991776.1235498008,10
20250704,990917.1454198009,10
20250707,989634.0108598007,10
20250708,998390.7720598008,10
20250709,994250.9866698007,10
20250710,993317.7310598008,10
20250711,994310.296219801,10
20250714,995255.2848498011,10
20250715,987432.2220598009,10
20250716,991003.4044598009,10
20250717,996163.3078998008,10
20250718,995030.9468598008,8
20250721,1000899.3333598009,8
20250722,1004280.7925798008,8
20250723,997512.062659801,9
20250724,1000672.107759801,10
20250725,1000504.1309798011,9
20250728,995037.297090581,9
20250729,996107.2956298604,10
20250730,993532.290045007,10
20250731,983754.9518122012,10
20250801,989006.0795722011,10
20250804,991654.4540422009,10
20250805,998282.8970722011,10
20250806,1002261.3491722012,10
20250807,997725.7693522011,10
20250808,996894.7693522013,10
20250811,1001305.2455322013,10
20250812,1001145.3433522013,10
20250813,1003067.9727422013,8
20250814,996175.9839422014,10
20250815,1006849.4039422013,10
20250818,1014705.4553722015,10
20250819,1015277.0451322013,10
20250820,1015268.1101322011,9
20250821,1020042.6734722015,9
20250822,1032410.6805122014,10
20250825,1030086.8360922015,9
20250826,1027602.4277422016,10
20250827,1003866.7977422015,10
20250828,1002887.2609222014,10
20250829,999462.8576622016,10
20250901,992486.8121622014,10
20250902,992558.4149222015,10
20250903,996640.7449222015,10
20250904,997273.1576522016,10
20250905,1011799.5567822017,10
20250908,1016011.9659722018,10
20250909,1009877.9957822016,8
20250910,1004891.8800622018,9
20250911,1012097.7052422017,8
20250912,1012030.0989422016,10
20250915,1004757.7422522018,10
20250916,1003293.6538722018,10
20250917,1009789.1031522017,10
20250918,1005817.4278122018,8
20250919,1004112.7142322017,10
20250922,998367.7444422016,10
20250923,998046.0784122016,10
20250924,1004157.7830122018,10
20250925,1007639.5239622018,10
20250926,1003934.1834422018,10
20250929,1018218.0931122019,10
20250930,1021458.808262202,10
20251009,1031181.4833822018,10
20251010,1024660.3402445719,10
20251013,1012191.9877996016,8
20251014,1008888.0865696019,10
20251015,1011737.2815696017,10
20251016,1005547.3570996018,10
20251017,996655.8895721718,10
20251020,996830.0609122295,10
20251021,1005811.7305147466,10
20251022,1004388.832581002,10
