trade_date,raw_bonds,pit_complete,eligible_bonds,top_n_selected,intraday_signals,orders_generated
20250102,117,117,101,0,101,0
20250103,117,117,102,10,102,10
20250106,116,116,100,10,100,10
20250107,116,116,102,10,101,10
20250108,117,117,102,10,102,10
20250109,117,117,99,10,99,10
20250110,117,117,99,10,98,9
20250113,117,117,102,10,101,10
20250114,116,116,100,10,99,8
20250115,116,116,98,10,98,10
20250116,117,117,99,10,99,10
20250117,117,117,100,10,100,10
20250120,117,117,97,10,97,10
20250121,117,117,97,10,97,10
20250122,118,118,98,10,98,10
20250123,118,118,98,10,98,10
20250124,117,117,98,10,98,10
20250127,117,117,98,10,98,10
20250205,117,117,100,10,100,10
20250206,116,116,97,10,97,9
20250207,116,116,94,10,94,10
20250210,117,117,95,10,95,10
20250211,118,118,97,10,97,10
20250212,118,118,95,10,95,10
20250213,119,119,96,10,96,10
20250214,118,118,96,10,96,10
20250217,118,118,97,10,97,10
20250218,118,118,99,10,98,10
20250219,118,118,99,10,98,10
20250220,118,118,96,10,96,10
20250221,119,119,96,10,94,10
20250224,119,119,94,10,94,10
20250225,120,120,95,10,95,10
20250226,120,120,94,10,94,10
20250227,120,120,95,10,95,9
20250228,120,120,97,10,97,10
20250303,120,120,100,10,100,10
20250304,121,121,100,10,99,10
20250305,123,123,98,10,98,10
20250306,123,123,95,10,93,9
20250307,123,123,95,10,92,10
20250310,123,123,94,10,93,10
20250311,122,122,95,10,95,10
20250312,121,121,95,10,95,10
20250313,121,121,98,10,98,10
20250314,121,121,97,10,97,10
20250317,121,121,94,10,94,10
20250318,121,121,95,10,94,10
20250319,122,122,95,10,95,10
20250320,122,122,96,10,95,10
20250321,123,123,100,10,100,10
20250324,122,122,101,10,101,10
20250325,122,122,99,10,99,10
20250326,121,121,98,10,97,9
20250327,121,121,99,10,99,10
20250328,120,120,99,10,99,9
20250331,118,118,98,10,97,10
20250401,118,118,96,10,96,10
20250402,117,117,95,10,95,9
20250403,115,115,96,10,96,9
20250407,115,115,101,10,101,9
20250408,116,116,102,10,102,10
20250409,117,117,103,10,103,10
20250410,117,117,101,10,101,10
20250411,117,117,102,10,102,10
20250414,117,117,102,10,102,10
20250415,117,117,102,10,102,10
20250416,117,117,103,10,103,10
20250417,117,117,103,10,103,10
20250418,116,116,103,10,103,10
20250421,116,116,102,10,102,10
20250422,115,115,101,10,101,9
20250423,115,115,100,10,100,10
20250424,115,115,101,10,101,10
20250425,116,116,102,10,102,10
20250428,116,116,102,10,102,10
20250429,116,116,101,10,101,9
20250430,116,116,101,10,101,10
20250506,116,116,100,10,100,10
20250507,116,116,99,10,97,10
20250508,117,117,98,10,98,10
20250509,117,117,98,10,98,10
20250512,117,117,97,10,96,10
20250513,117,117,98,10,96,10
20250514,117,117,97,10,97,10
20250515,118,118,99,10,99,10
20250516,119,119,98,10,98,10
20250519,119,119,98,10,98,10
20250520,119,119,98,10,98,10
20250521,118,118,98,10,98,10
20250522,118,118,100,10,100,10
20250523,118,118,99,10,99,10
20250526,118,118,102,10,100,10
20250527,118,118,101,10,101,9
20250528,118,118,100,10,100,10
20250529,118,118,100,10,100,10
